"Control Area ID","Control Area","Control Area Internal Id","Control Objective ID","Control Objective","Control Objective Internal Id","Control ID","Control","Control Status","Control Internal Id","Control Enabled","Evidence Status","Evidence Name","Notes","Attachment","Attachment Type","Evidence Type"
"4","Context of the organization",705,"C 4.1","4.1 Understanding the organisation and its context",7390,"CTL12161","The organization shall determine external and internal issues that are relevant to its purpose and that  affect its ability to achieve the intended result(s) of its AI management system.","In Progress",19046,true,,,,,,
,,,,,,"CTL12162","The organization shall consider the intended purpose of the AI systems that are developed, provided or used by the organization.","In Progress",19047,true,,,,,,
,,,,,,"CTL12163","The organization shall determine its roles with respect to these AI systems.","In Progress",19048,true,,,,,,
,,,"C 4.2","4.2 Understanding the needs and expectations of workers and other interested parties",7391,"CTL12164","The organization shall determine:
- the interested parties that are relevant to the AI management system;
- the relevant requirements of these interested parties;
- which of these requirements will be addressed through the AI management system.","In Progress",19049,true,,,,,,
,,,"C 4.3","4.3 Determining the scope of the AI management system",7392,"CTL12165","The organization shall determine the boundaries and applicability of the AI management system to
establish its scope.","In Progress",19050,true,,,,,,
,,,"C 4.4","4.4 AI management system",7393,"CTL12166","The organization shall establish, implement, maintain, continually improve and document an AI management system, including the processes needed and their interactions, in accordance with the requirements of this document.","In Progress",19051,true,,,,,,
"5","Leadership",706,"C 5.1","5.1 Leadership and commitment",7394,"CTL12167","Top management shall demonstrate leadership and commitment with respect to the AI management system by:
- ensuring that the AI policy (see 5.2) and AI objectives (see 6.2) are established and are compatible with the strategic direction of the organization;
- ensuring the integration of the AI management system requirements into the organization’s business processes;
- ensuring that the resources needed for the AI management system are available;
- communicating the importance of effective AI management and of conforming to the AI management system requirements;
- ensuring that the AI management system achieves its intended result(s);
- directing and supporting persons to contribute to the effectiveness of the AI management system;
- promoting continual improvement;
- supporting other relevant roles to demonstrate their leadership as it applies to their areas of responsibility.","In Progress",19052,true,,,,,,
,,,"C 5.2","5.2 AI policy",7395,"CTL12168","Top management shall establish an AI policy that:
a) is appropriate to the purpose of the organization;
c) includes a commitment to meet applicable requirements;
b) provides a framework for setting AI objectives (see 6.2);
d) includes a commitment to continual improvement of the AI management system.","In Progress",19053,true,,,,,,
,,,,,,"CTL12169","The AI policy shall:
- be available as documented information;
- refer as relevant to other organizational policies;
- be communicated within the organization;
- be available to interested parties, as appropriate.","In Progress",19054,true,,,,,,
,,,"C 5.3","5.3 Roles, responsibilities and authorities",7396,"CTL12170","Top management shall ensure that the responsibilities and authorities for relevant roles are assigned and communicated within the organization.","In Progress",19055,true,,,,,,
,,,,,,"CTL12171","Top management shall assign the responsibility and authority for:
a) ensuring that the AI management system conforms to the requirements of this document;
b) reporting on the performance of the AI management system to top management.","In Progress",19056,true,,,,,,
